date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_15_38    376,-941,516,383,416,667,517,2,272,160,38,1,2,795,556,4,511,534,1.0,1,1
2014_11_11_15_15_38    391,-964,543,387,423,669,519,2,274,174,238,2,3,800,552,2,515,532,1.0,1,1
2014_11_11_15_15_38    389,-1033,527,386,430,669,519,2,271,172,25,1,2,800,558,2,537,526,1.0,1,1
2014_11_11_15_15_38    402,-993,555,387,443,687,520,2,268,213,460,1,2,801,559,2,461,533,1.0,1,1
2014_11_11_15_15_38    404,-1011,535,385,409,664,523,2,273,184,27,2,2,804,623,1,512,532,1.0,1,1
2014_11_11_15_15_39    411,-1009,568,388,414,667,523,1,270,185,32,1,2,805,616,2,516,533,1.0,1,1
2014_11_11_15_15_39    408,-991,545,377,382,652,517,1,154,149,39,2,2,797,542,2,500,528,1.0,1,1
2014_11_11_15_15_39    408,-991,545,377,382,652,517,1,154,149,39,2,2,797,542,2,500,528,1.0,1,1
2014_11_11_15_15_39    448,-1068,551,376,377,665,520,2,167,205,37,2,2,797,603,3,519,527,1.0,1,1
2014_11_11_15_15_39    412,-1032,529,384,415,687,521,2,267,196,36,1,3,782,618,1,509,530,1.0,1,1
2014_11_11_15_15_39    375,-914,514,380,408,684,515,1,280,188,31,3,2,776,541,2,518,528,1.0,1,1
2014_11_11_15_15_39    371,-1008,472,374,386,687,515,3,285,134,35,2,1,763,551,2,525,529,1.0,1,1
2014_11_11_15_15_39    368,-1025,536,378,414,690,516,2,290,172,13,1,3,766,493,2,538,528,1.0,1,1
2014_11_11_15_15_39    339,-960,515,379,419,689,517,2,297,191,25,2,1,769,501,1,521,528,1.0,1,1
2014_11_11_15_15_39    364,-1005,521,381,433,690,517,2,294,224,32,2,2,783,522,2,549,534,1.0,1,1
2014_11_11_15_15_39    374,-991,527,382,425,691,520,2,287,248,23,1,2,782,535,1,542,533,1.0,1,1
2014_11_11_15_15_39    387,-992,513,381,422,689,518,1,284,248,29,1,1,783,535,1,531,533,1.0,1,1
2014_11_11_15_15_39    393,-999,540,382,424,690,518,1,288,272,27,1,1,783,537,1,552,531,1.0,1,1
2014_11_11_15_15_39    387,-993,550,378,417,681,519,2,280,212,37,2,4,781,503,2,536,527,1.0,1,1
2014_11_11_15_15_39    395,-948,524,369,413,657,520,2,193,203,27,1,3,783,526,0,523,527,1.0,1,1
2014_11_11_15_15_39    399,-993,540,367,405,639,518,2,175,199,28,1,1,783,530,2,526,530,1.0,1,1
2014_11_11_15_15_39    387,-977,551,373,411,670,523,2,172,198,34,1,3,784,524,2,524,536,1.0,1,1
2014_11_11_15_15_39    399,-1029,568,376,401,674,524,2,262,195,31,1,0,789,539,1,521,534,1.0,1,1
2014_11_11_15_15_39    399,-944,570,381,404,674,524,2,259,176,33,0,3,794,555,1,529,540,1.0,1,1
2014_11_11_15_15_39    412,-936,503,382,405,668,526,2,187,188,35,2,2,792,556,2,522,534,1.0,1,1
2014_11_11_15_15_40    428,-991,511,383,394,664,523,2,180,183,251,1,2,790,585,1,521,533,1.0,1,1
2014_11_11_15_15_40    454,-1028,559,381,389,670,523,2,188,170,272,2,1,787,594,1,538,539,1.0,1,1
2014_11_11_15_15_40    447,-1021,543,405,394,691,525,1,275,217,38,2,3,784,606,2,551,536,1.0,1,1
2014_11_11_15_15_40    392,-945,535,402,432,695,524,2,294,245,31,1,1,786,561,1,568,532,1.0,1,1
2014_11_11_15_15_40    352,-953,536,398,444,697,527,1,293,241,31,2,2,790,548,2,573,535,1.0,1,1
2014_11_11_15_15_40    360,-909,550,399,434,701,528,2,305,239,2,1,2,791,510,1,560,534,1.0,1,1
2014_11_11_15_15_40    353,-988,555,400,412,701,526,2,297,228,2,1,2,793,537,1,557,537,1.0,1,1
2014_11_11_15_15_40    391,-1042,531,401,434,704,523,2,295,258,1,0,0,795,516,1,554,539,1.0,1,1
2014_11_11_15_15_40    391,-1042,531,401,434,704,523,2,295,258,1,0,0,795,516,1,554,539,1.0,1,1
2014_11_11_15_15_40    382,-961,527,386,442,707,521,2,304,299,1,2,2,794,547,0,512,540,1.0,1,1
2014_11_11_15_15_40    417,-996,567,381,416,702,518,2,299,235,2,1,2,793,537,2,522,536,1.0,1,1
2014_11_11_15_15_40    379,-968,556,380,406,699,518,2,294,220,38,1,1,794,550,1,527,534,1.0,1,1
2014_11_11_15_15_40    393,-989,563,380,418,701,519,3,297,199,40,1,2,794,548,1,518,537,2.0,1,0
2014_11_11_15_15_40    358,-932,555,378,410,687,533,2,286,184,36,1,2,793,542,1,514,533,2.0,1,0
2014_11_11_15_15_40    403,-986,583,380,444,691,532,2,287,191,34,1,2,794,516,2,566,537,2.0,1,0
2014_11_11_15_15_40    399,-973,551,406,453,688,536,2,288,192,284,2,2,798,525,2,562,535,2.0,1,0
2014_11_11_15_15_40    465,-1035,568,385,446,687,523,2,283,199,39,1,3,801,548,2,526,532,2.0,1,0
2014_11_11_15_15_40    440,-1000,495,370,436,673,537,2,282,174,3,3,2,789,546,2,561,534,2.0,1,0
2014_11_11_15_15_40    432,-1063,571,372,446,701,536,3,281,177,1,2,2,790,561,1,575,539,2.0,1,0
2014_11_11_15_15_40    432,-1063,571,372,446,701,536,3,281,177,1,2,2,790,561,1,575,539,2.0,1,0
2014_11_11_15_15_41    385,-985,508,377,445,709,531,2,285,209,2,1,2,792,567,2,571,539,2.0,1,0
2014_11_11_15_15_41    343,-952,562,376,455,709,537,3,291,221,2,0,1,789,514,3,582,540,2.0,1,0
2014_11_11_15_15_41    355,-991,529,378,462,709,539,1,290,212,2,2,2,791,524,2,588,542,2.0,1,0
2014_11_11_15_15_41    382,-1008,556,379,472,711,540,2,298,234,1,2,2,793,512,2,587,542,2.0,1,0
